"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"Lysine degradation",100,1860,9,0,1,"",1
"Malaria",100,1860,3,0,1,"",1
"Mannose type O-glycan biosynthesis",100,1860,5,0,1,"",1
"Maturity onset diabetes of the young",100,1860,1,0,1,"",1
"Melanogenesis",100,1860,10,0,1,"",1
"Melanoma",100,1860,8,0,1,"",1
"Metabolism of xenobiotics by cytochrome P450",100,1860,3,0,1,"",1
"Mineral absorption",100,1860,4,0,1,"",1
"Mismatch repair",100,1860,1,0,1,"",1
"Mucin type O-glycan biosynthesis",100,1860,1,0,1,"",1
"Natural killer cell mediated cytotoxicity",100,1860,18,0,1,"",1
"Necroptosis",100,1860,14,0,1,"",1
"Neomycin, kanamycin and gentamicin biosynthesis",100,1860,0,0,1,"",1
"Neurotrophin signaling pathway",100,1860,22,0,1,"",1
"Nicotinate and nicotinamide metabolism",100,1860,3,0,1,"",1
"Nicotine addiction",100,1860,1,0,1,"",1
"Nitrogen metabolism",100,1860,0,0,1,"",1
"Non-homologous end-joining",100,1860,3,0,1,"",1
"Non-small cell lung cancer",100,1860,8,0,1,"",1
"Olfactory transduction",100,1860,12,0,1,"",1
"One carbon pool by folate",100,1860,3,0,1,"",1
"Other glycan degradation",100,1860,3,0,1,"",1
"Other types of O-glycan biosynthesis",100,1860,6,0,1,"",1
"Ovarian steroidogenesis",100,1860,4,0,1,"",1
"PPAR signaling pathway",100,1860,8,0,1,"",1
"Pentose and glucuronate interconversions",100,1860,3,0,1,"",1
"Pentose phosphate pathway",100,1860,2,0,1,"",1
"Peroxisome",100,1860,11,0,1,"",1
"Phenylalanine metabolism",100,1860,1,0,1,"",1
"Phenylalanine, tyrosine and tryptophan biosynthesis",100,1860,0,0,1,"",1
"Phosphatidylinositol signaling system",100,1860,18,0,1,"",1
"Phosphonate and phosphinate metabolism",100,1860,1,0,1,"",1
"Phototransduction",100,1860,2,0,1,"",1
"Porphyrin and chlorophyll metabolism",100,1860,3,0,1,"",1
"Primary bile acid biosynthesis",100,1860,1,0,1,"",1
"Primary immunodeficiency",100,1860,4,0,1,"",1
"Prion diseases",100,1860,3,0,1,"",1
"Progesterone-mediated oocyte maturation",100,1860,8,0,1,"",1
"Prolactin signaling pathway",100,1860,6,0,1,"",1
"Propanoate metabolism",100,1860,4,0,1,"",1
"Prostate cancer",100,1860,11,0,1,"",1
"Proteasome",100,1860,4,0,1,"",1
"Protein digestion and absorption",100,1860,6,0,1,"",1
"Proteoglycans in cancer",100,1860,29,0,1,"",1
"Proximal tubule bicarbonate reclamation",100,1860,0,0,1,"",1
"Purine metabolism",100,1860,14,0,1,"",1
"Pyrimidine metabolism",100,1860,7,0,1,"",1
"Pyruvate metabolism",100,1860,2,0,1,"",1
"RIG-I-like receptor signaling pathway",100,1860,4,0,1,"",1
"RNA degradation",100,1860,11,0,1,"",1
"RNA polymerase",100,1860,3,0,1,"",1
"RNA transport",100,1860,14,0,1,"",1
"Rap1 signaling pathway",100,1860,30,0,1,"",1
"Renal cell carcinoma",100,1860,11,0,1,"",1
"Renin-angiotensin system",100,1860,1,0,1,"",1
"Retinol metabolism",100,1860,4,0,1,"",1
"Retrograde endocannabinoid signaling",100,1860,12,0,1,"",1
"Riboflavin metabolism",100,1860,0,0,1,"",1
"Ribosome biogenesis in eukaryotes",100,1860,6,0,1,"",1
"SNARE interactions in vesicular transport",100,1860,6,0,1,"",1
"Selenocompound metabolism",100,1860,1,0,1,"",1
"Serotonergic synapse",100,1860,11,0,1,"",1
"Signaling pathways regulating pluripotency of stem cells",100,1860,15,0,1,"",1
"Sphingolipid metabolism",100,1860,7,0,1,"",1
"Sphingolipid signaling pathway",100,1860,21,0,1,"",1
"Spliceosome",100,1860,18,0,1,"",1
"Staphylococcus aureus infection",100,1860,5,0,1,"",1
"Starch and sucrose metabolism",100,1860,1,0,1,"",1
"Steroid biosynthesis",100,1860,0,0,1,"",1
"Steroid hormone biosynthesis",100,1860,1,0,1,"",1
"Sulfur metabolism",100,1860,0,0,1,"",1
"Sulfur relay system",100,1860,1,0,1,"",1
"Synthesis and degradation of ketone bodies",100,1860,0,0,1,"",1
"Systemic lupus erythematosus",100,1860,2,0,1,"",1
"T cell receptor signaling pathway",100,1860,16,0,1,"",1
"TGF-beta signaling pathway",100,1860,8,0,1,"",1
"TNF signaling pathway",100,1860,6,0,1,"",1
"Taste transduction",100,1860,3,0,1,"",1
"Taurine and hypotaurine metabolism",100,1860,4,0,1,"",1
"Terpenoid backbone biosynthesis",100,1860,0,0,1,"",1
"Thiamine metabolism",100,1860,1,0,1,"",1
"Thyroid cancer",100,1860,4,0,1,"",1
"Thyroid hormone synthesis",100,1860,8,0,1,"",1
"Tight junction",100,1860,23,0,1,"",1
"Tryptophan metabolism",100,1860,0,0,1,"",1
"Type I diabetes mellitus",100,1860,1,0,1,"",1
"Type II diabetes mellitus",100,1860,5,0,1,"",1
"Tyrosine metabolism",100,1860,2,0,1,"",1
"Ubiquinone and other terpenoid-quinone biosynthesis",100,1860,1,0,1,"",1
"Ubiquitin mediated proteolysis",100,1860,19,0,1,"",1
"VEGF signaling pathway",100,1860,15,0,1,"",1
"Valine, leucine and isoleucine degradation",100,1860,4,0,1,"",1
"Vascular smooth muscle contraction",100,1860,16,0,1,"",1
"Viral myocarditis",100,1860,6,0,1,"",1
"Vitamin B6 metabolism",100,1860,0,0,1,"",1
"Vitamin digestion and absorption",100,1860,1,0,1,"",1
"alpha-Linolenic acid metabolism",100,1860,1,0,1,"",1
"beta-Alanine metabolism",100,1860,4,0,1,"",1
"mRNA surveillance pathway",100,1860,15,0,1,"",1
"mTOR signaling pathway",100,1860,17,0,1,"",1
